team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,total,spread,ML
Browns,Raiders,11,8,77,0.25,0.0,0.55,0,1,1,206,4,23:34,0.6666666666666666,64,4,27,0.3333333333333333,15,48,270,2,9.8,5.6,2.4,19,13,109,0.2352941176470588,0.3333333333333333,0.6818181818181818,0,1,0,208,15,36:26,1.0,60,2,21,0.1298701298701298,15,75,268,1,3.9,3.6,2.9,34,-14,1
Browns,49ers,15,4,25,0.2727272727272727,0.0,0.6538461538461539,0,2,0,115,7,29:50,0.0,138,8,31,0.088235294117647,9,60,253,2,4.0,4.2,4.5,19,3,11,0.6470588235294118,0.0,0.5333333333333333,0,0,0,161,11,30:10,0.6,91,7,33,0.1428571428571428,11,64,252,0,5.2,3.9,2.8,34,18,2
Browns,Titans,22,7,50,0.4285714285714285,0.0,0.5476190476190477,0,1,1,351,13,28:04,1.0,61,5,20,0.1538461538461538,15,64,412,2,8.0,6.4,3.1,13,11,85,0.3529411764705882,0.0,0.5,0,0,1,108,6,31:56,1.0,184,7,35,0.1111111111111111,15,64,292,1,3.7,4.6,5.3,60,2,2
Cowboys,Broncos,24,9,80,0.3636363636363636,1.0,0.6285714285714286,0,0,2,231,12,33:32,0.5,108,8,31,0.1333333333333333,11,68,339,2,6.2,5.0,3.5,25,7,42,0.625,0.0,0.6551724137931034,0,0,1,247,15,26:28,0.8,179,8,28,0.0,12,57,426,1,8.5,7.5,6.4,68,20,2
Cowboys,Cardinals,22,6,55,0.4166666666666667,0.0,0.6153846153846154,1,2,1,210,14,26:40,0.3333333333333333,123,8,21,0.125,9,65,333,3,4.8,5.1,5.9,23,2,10,0.5384615384615384,0.0,0.6774193548387096,0,0,0,221,14,33:20,0.75,119,8,29,0.125,10,65,340,0,6.1,5.2,4.1,44,10,2
Cowboys,Raiders,24,6,50,0.4,0.3333333333333333,0.7575757575757576,0,1,0,267,16,33:36,0.6,114,7,31,1.0,10,65,381,1,7.9,5.9,3.7,17,6,40,0.25,0.6666666666666666,0.6428571428571429,0,0,1,209,12,26:24,0.3333333333333333,27,4,12,0.1379310344827586,11,58,236,1,4.5,4.1,2.3,49,-17,1
Cowboys,Eagles,25,8,69,0.4166666666666667,0.0,0.6388888888888888,0,1,1,348,16,29:02,0.6,125,6,31,0.1666666666666666,12,68,473,2,9.4,7.0,4.0,19,14,96,0.4166666666666667,0.0,0.6923076923076923,0,2,0,276,14,30:58,1.0,63,4,18,0.0769230769230769,11,58,339,2,6.9,5.8,3.5,45,-3,1
Cowboys,Chiefs,23,7,50,0.5625,1.0,0.6923076923076923,0,0,1,320,15,30:54,0.5,137,3,26,0.0,10,65,457,1,8.2,7.0,5.3,19,10,119,0.3846153846153846,1.0,0.6764705882352942,0,0,0,243,12,29:06,1.0,119,7,23,0.1666666666666666,9,60,362,0,6.6,6.0,5.2,59,-3,1
Cowboys,Lions,25,7,76,0.4,1.0,0.6595744680851063,0,1,2,326,17,31:23,0.3333333333333333,91,7,24,0.1,11,76,417,3,6.3,5.5,3.8,20,8,50,0.375,0.0,0.7352941176470589,0,0,0,299,10,28:37,0.8,109,8,22,0.1,12,57,408,0,8.5,7.2,5.0,74,14,2
Broncos,Cowboys,25,7,42,0.625,0.0,0.6551724137931034,0,0,1,247,15,26:28,0.8,179,8,28,0.0,12,57,426,1,8.5,7.5,6.4,24,9,80,0.3636363636363636,1.0,0.6285714285714286,0,0,2,231,12,33:32,0.5,108,8,31,0.1333333333333333,11,68,339,2,6.2,5.0,3.5,68,-20,1
