team1,team2,team1_1st_downs,team1_numberpenalties,team1_penaltyyards,team1_3rd_down_efficiency,team1_4th_down_efficiency,team1_comp/att,team1_defensive_/_special_teams_tds,team1_fumbles_lost,team1_interceptions_thrown,team1_passing,team1_passing_1st_downs,team1_possession,team1_red_zone_(made-att),team1_rushing,team1_rushing_1st_downs,team1_rushing_attempts,team1_sacks-yards_lost,team1_total_drives,team1_total_plays,team1_total_yards,team1_turnovers,team1_yards_per_pass,team1_yards_per_play,team1_yards_per_rush,team2_1st_downs,team2_numberpenalties,team2_penaltyyards,team2_3rd_down_efficiency,team2_4th_down_efficiency,team2_comp/att,team2_defensive_/_special_teams_tds,team2_fumbles_lost,team2_interceptions_thrown,team2_passing,team2_passing_1st_downs,team2_possession,team2_red_zone_(made-att),team2_rushing,team2_rushing_1st_downs,team2_rushing_attempts,team2_sacks-yards_lost,team2_total_drives,team2_total_plays,team2_total_yards,team2_turnovers,team2_yards_per_pass,team2_yards_per_play,team2_yards_per_rush,spread
Cardinals,Jaguars,25,7,53,0.3125,0.3333333333333333,0.68,1,0,0,271,15,37:26,0.3333333333333333,55,6,20,0.13636363636363635,12,76,326,0,4.8,4.3,2.8,18,7,60,0.2727272727272727,0.0,0.6,0,1,3,237,13,28:33,0.6,134,5,28,0.15789473684210525,14,61,371,4,7.2,6.1,4.8,3
Cardinals,Buccaneers,22,4,33,0.375,0.0,0.725,0,1,1,291,16,29:34,1.0,95,6,19,0.2,10,61,386,2,6.9,6.3,5.0,13,5,40,0.4375,1.0,0.6428571428571429,0,0,0,184,8,30:26,0.5,95,5,27,0.2,10,57,279,0,6.1,4.9,3.5,3
Falcons,Buccaneers,23,8,55,0.4,0.75,0.6428571428571429,0,0,0,289,16,35:12,0.5,69,4,28,0.1111111111111111,10,71,358,0,6.7,5.0,2.5,16,5,60,0.5,1.0,0.53125,0,0,0,159,10,24:48,1.0,101,5,23,0.125,10,56,260,0,4.8,4.6,4.4,3
Falcons,Vikings,19,5,29,0.4,0.0,0.6190476190476191,0,1,0,108,5,36:32,0.2,218,12,39,0.1111111111111111,11,63,326,1,4.5,5.2,5.6,10,8,50,0.36363636363636365,0.5,0.5238095238095238,0,2,2,120,7,23:28,0.0,78,3,19,0.15789473684210525,10,46,198,4,4.4,4.3,4.1,-16
Falcons,Panthers,17,3,23,0.38461538461538464,0.0,0.5348837209302325,0,1,2,201,11,28:02,0.0,131,6,23,0.0,11,66,332,3,4.7,5.0,5.7,15,6,55,0.2727272727272727,1.0,0.6666666666666666,1,1,0,114,7,31:58,0.6666666666666666,110,7,30,0.14285714285714285,9,55,224,1,4.6,4.1,3.7,30
Falcons,Commanders,24,5,45,0.5,1.0,0.7692307692307693,0,0,1,307,14,34:15,0.6666666666666666,128,9,37,0.16666666666666666,10,64,435,1,11.4,6.8,3.5,17,6,50,0.125,1.0,0.5925925925925926,0,0,1,147,8,25:45,1.0,147,7,22,0.2222222222222222,9,51,294,1,5.1,5.8,6.7,-7
Falcons,Bills,22,6,35,0.4166666666666667,0.0,0.625,0,0,0,233,10,31:39,0.3333333333333333,210,9,32,0.11764705882352941,12,66,443,0,6.9,6.7,6.6,17,8,64,0.2222222222222222,0.0,0.5769230769230769,0,0,2,157,8,28:21,0.6666666666666666,134,7,24,0.17391304347826086,11,54,291,2,5.2,5.4,5.6,-10
Falcons,49ers,19,6,43,0.45454545454545453,0.0,0.5526315789473685,0,1,0,230,13,27:50,0.5,62,3,20,0.18181818181818182,9,60,292,1,5.8,4.9,3.1,23,3,25,0.6,0.0,0.6538461538461539,0,0,1,150,10,32:10,1.0,174,12,39,0.5,9,66,324,1,5.6,4.9,4.5,10
Falcons,Dolphins,11,8,76,0.18181818181818182,0.5,0.6774193548387096,0,1,0,168,7,22:02,0.5,45,3,17,0.2,11,49,213,1,5.3,4.3,2.6,24,4,54,0.46153846153846156,0.5,0.7777777777777778,0,0,0,197,10,37:58,0.6,141,11,37,0.125,10,65,338,0,7.0,5.2,3.8,24
Falcons,Patriots,17,5,40,0.1,0.6666666666666666,0.5945945945945946,0,0,0,217,13,25:55,1.0,71,3,16,0.25,10,54,288,0,5.7,5.3,4.4,23,2,15,0.6666666666666666,0.0,0.6551724137931034,0,1,1,221,14,34:05,0.75,110,9,33,0.15789473684210525,11,68,331,2,6.3,4.9,3.3,1
